REFYEAR,SEX,AGE,STAPRO,HWACTUAL,COEFF
2013,1,7,9,99,0.0690736761
2013,2,75,9,99,0.1629190797
2013,2,75,9,99,0.1866722308
2013,2,75,9,99,0.2340044119
2013,1,65,9,99,0.2349121987
2013,1,65,5,20,0.1199237211
2013,2,65,9,99,0.1326962191
2013,1,75,9,99,0.0617345861
2013,2,20,9,99,0.0215525864
2013,2,65,9,99,0.0671614211
2013,2,65,9,99,0.1550660474
2013,2,75,9,99,0.0791827693
2013,2,65,9,99,0.1195738569
2013,2,7,9,99,0.3169169214
2013,1,65,0,35,0.0977439819
2013,2,75,9,99,0.0662037019
2013,2,7,9,99,0.1272773031
2013,1,47,5,40,0.25703939
2013,1,32,5,48,0.209356763
2013,1,47,9,99,0.1412379081
2013,1,32,9,99,0.3142618175
2013,2,65,9,99,0.1731381135
2013,1,65,9,99,0.1633537688
2013,1,20,5,40,0.2600271632
2013,2,65,5,36,0.0478200378
2013,1,65,9,99,0.0501760605
2013,2,20,9,99,0.0956094287
2013,1,47,0,0,0.4724061755
2013,2,65,9,99,0.0785891995
2013,2,20,9,99,0.2428923929
2013,1,65,9,99,0.0335805598
2013,2,20,9,99,0.136479897
2013,2,47,5,0,0.189855036
2013,1,32,5,0,0.2104693144
2013,2,47,9,99,0.1092470788
2013,1,20,9,99,0.0236938445
2013,1,20,5,40,0.1283738114
2013,1,75,9,99,0.0254494628
2013,1,7,9,99,0.0999926225
2013,1,32,5,40,0.0500585767
2013,1,7,9,99,0.1089749904
2013,1,47,9,99,0.1387571382
2013,2,20,9,99,0.2272038519
2013,2,47,0,40,0.0349239764
2013,2,32,5,40,0.177746771
2013,2,20,9,99,0.1933036862
2013,1,20,9,99,0.1389569909
2013,1,65,9,99,0.0808790299
2013,1,75,9,99,0.0263846246
2013,2,65,9,99,0.0694807961
2013,2,47,9,99,0.1065899571
2013,2,65,9,99,0.0862417751
2013,1,20,9,99,0.2088861241
2013,1,47,5,40,0.1311091623
2013,1,65,9,99,0.1080661574
2013,1,20,5,40,0.0973545825
2013,1,32,0,40,0.0516948619
2013,2,32,9,99,0.1344168804
2013,1,20,9,99,0.1541508321
2013,2,47,5,36,0.0563727036
2013,2,65,9,99,0.0756633926
2013,2,20,9,99,0.0700945578
2013,1,65,5,0,0.0618057874
2013,1,7,9,99,0.0636042779
2013,1,65,9,99,0.1379834785
2013,2,7,9,99,0.1597565572
2013,1,75,9,99,0.1828669694
2013,1,7,9,99,0.1472142179
2013,2,65,5,25,0.1273064713
2013,2,65,0,40,0.2334930076
2013,1,65,9,99,0.059632665
2013,2,7,9,99,0.0848878767
2013,1,65,5,0,0.0876503793
2013,1,47,5,40,0.1003965003
2013,1,65,5,36,0.1409987381
2013,1,32,5,50,0.2640853609
2013,2,47,5,32,0.0672284655
2013,1,32,9,99,0.1648134119
2013,2,65,9,99,0.0682382435
2013,2,65,9,99,0.1107836608
2013,2,32,9,99,0.2482599327
2013,1,47,5,40,0.1033050616
2013,1,32,0,NA,0.1321624249
2013,1,47,5,40,0.0625590885
2013,1,47,5,12,0.140145295
2013,2,32,0,40,0.1787761485
2013,1,7,9,99,0.0845132849
2013,2,47,0,40,0.0545971496
2013,2,47,9,99,0.0854500052
2013,2,47,5,12,0.2406045565
2013,1,75,9,99,0.0562330854
2013,2,7,9,99,0.0990976945
2013,1,20,9,99,0.1022847019
2013,2,7,9,99,0.0696753973
2013,2,20,5,6,0.3550241584
2013,1,47,0,40,0.1770187051
2013,2,65,5,36,0.1353675146
2013,2,75,9,99,0.157736804
2013,2,32,9,99,0.26474616
2013,2,65,9,99,0.0626482456
2013,2,47,5,41,0.1125839307
2013,1,7,9,99,0.0250913314
2013,2,32,5,36,0.1569020315
2013,2,65,5,30,0.064180737
2013,2,75,9,99,0.0730052908
2013,2,75,9,99,0.1791839281
2013,1,65,9,99,0.100880212
2013,2,20,9,99,0.344793714
2013,2,65,5,36,0.0884871971
2013,2,47,0,50,0.060509206
2013,2,47,9,99,0.1410957934
2013,2,65,9,99,0.0605415523
2013,1,47,5,40,0.3463556706
2013,1,20,5,16,0.1790325191
2013,2,47,9,99,0.2500564687
2013,2,32,5,20,0.0244504572
2013,2,20,0,40,0.0822615631
2013,2,7,9,99,0.1739471704
2013,1,75,9,99,0.0702611558
2013,2,20,9,99,0.0647621575
2013,1,32,5,50,0.2204289436
2013,1,32,5,40,0.1855361118
2013,1,47,0,40,0.1496132119
2013,2,65,9,99,0.096149445
2013,2,65,9,99,0.1077541355
2013,1,32,0,45,0.2080928697
2013,2,75,9,99,0.1300248942
2013,2,32,5,40,0.146721589
2013,1,65,5,40,0.2403998735
2013,2,75,9,99,0.0898832774
2013,1,7,9,99,0.1160437498
2013,2,65,9,99,0.062816875
2013,1,65,5,40,0.2945490026
2013,2,65,9,99,0.1329252786
2013,1,32,0,40,0.4183686174
2013,2,32,5,40,0.1092550017
2013,2,47,5,40,0.2229833677
2013,1,75,9,99,0.080261670500000007
2013,2,75,9,99,0.0663292113
2013,1,20,9,99,0.0777181973
2013,1,65,5,40,0.0532786896
2013,2,32,5,10,0.1126413396
2013,2,20,9,99,0.1247046492
2013,1,32,5,40,0.2009846335
2013,1,47,0,10,0.2223944744
2013,2,75,9,99,0.17508065
2013,2,47,5,36,0.2953300671
2013,1,65,9,99,0.2258931027
2013,1,65,9,99,0.3480163034
2013,2,65,9,99,0.0822409934
2013,1,32,0,40,0.2576265204
2013,1,65,9,99,0.0618306223
2013,1,20,9,99,0.1092803241
2013,1,47,5,40,0.2139409606
2013,2,65,9,99,0.0662710142
2013,1,75,9,99,0.0964801559
2013,1,7,9,99,0.0987801799
2013,1,47,5,45,0.1886602077
2013,1,32,9,99,0.0851586333
2013,1,65,9,99,0.0902796303
2013,2,65,9,99,0.0712062204
2013,2,32,5,20,0.1234418144
2013,2,32,9,99,0.1783479252
2013,1,20,9,99,0.288367741
2013,1,20,9,99,0.1188561492
2013,1,47,0,50,0.1111979006
2013,1,7,9,99,0.0653393457
2013,1,75,9,99,0.0904362567
2013,1,65,9,99,0.1184075681
2013,2,65,9,99,0.1380500453
2013,1,7,9,99,0.153459066
2013,1,7,9,99,0.0978515214
2013,1,47,9,99,0.1657613207
2013,1,75,9,99,0.0723145171
2013,1,47,9,99,0.0764460827
2013,1,7,9,99,0.1203958282
2013,2,47,5,49,0.2275680433
2013,1,47,5,0,0.2408393741
2013,1,32,0,20,0.2812941259
2013,2,65,9,99,0.154689794
2013,2,32,0,54,0.0470721398
2013,2,20,9,99,0.065350094
2013,2,75,9,99,0.213024437
2013,1,65,9,99,0.1106124381
2013,2,7,9,99,0.2675667186
2013,2,7,9,99,0.460641941
2013,2,47,5,25,0.1367179796
2013,2,47,9,99,0.0965532588
2013,2,65,9,99,0.1844831884
2013,2,7,9,99,0.1614204289
2013,1,47,0,16,0.1063810626
2013,2,32,9,99,0.1169766253
2013,1,65,9,99,0.0546317976
2013,1,7,9,99,0.2778289425
2013,1,75,9,99,0.0263871503
2013,1,7,9,99,0.1265470412
2013,2,47,9,99,0.1019938788
2013,2,32,9,99,0.146110532
2013,2,75,9,99,0.0187919239
2013,1,32,5,40,0.1685775772
2013,1,75,9,99,0.1000236537
2013,1,32,5,40,0.4170027535
2013,1,75,9,99,0.0689529272
2013,1,65,9,99,0.0212010404
2013,2,75,9,99,0.0276636993
2013,2,47,5,8,0.0336615681
2013,1,20,9,99,0.2915744572
2013,1,7,9,99,0.1201523911
2013,1,47,5,32,0.4711092336
2013,1,20,9,99,0.1833905372
2013,2,7,9,99,0.1703660042
2013,1,65,9,99,0.1559694894
2013,2,7,9,99,0.2936072401
2013,1,65,9,99,0.1778496829
2013,1,20,9,99,0.0881754698
2013,2,75,9,99,0.1578783846
2013,1,75,9,99,0.0652652384
2013,1,75,9,99,0.0545387994
2013,1,7,9,99,0.2256629477
2013,2,65,9,99,0.055876013
2013,2,47,9,99,0.29026538
2013,2,47,9,99,0.2921374254
2013,2,7,9,99,0.1325080621
2013,1,65,0,40,0.0719174769
2013,1,47,9,99,0.2696353151
2013,1,47,5,32,0.1708691038
2013,2,65,0,77,0.2571481339
2013,2,32,5,40,0.096255381
2013,1,20,5,24,0.2394864606
2013,2,75,9,99,0.0584996839
2013,2,32,9,99,0.1407922975
2013,1,7,9,99,0.0823934837
2013,2,32,5,40,0.1423514752
2013,2,65,9,99,0.0430805375
2013,2,20,9,99,0.0603497723
2013,2,32,9,99,0.3019324058
2013,2,65,9,99,0.1509032372
2013,1,32,5,60,0.1023651015
2013,2,47,9,99,0.1372737707
2013,1,47,5,36,0.2291119251
2013,1,47,5,40,0.3226761561
2013,1,65,0,55,0.103940311
2013,1,75,9,99,0.1773774561
2013,1,65,9,99,0.1510462355
2013,1,65,9,99,0.066444708
2013,1,65,5,40,0.0759423039
2013,1,32,5,36,0.2143323885
2013,1,47,5,32,0.0888481742
2013,1,20,9,99,0.3058261505
2013,1,20,9,99,0.1460039784
2013,1,47,5,38,0.1122989989
2013,1,32,0,30,0.1032945994
2013,2,20,9,99,0.2396720635
2013,2,7,9,99,0.2919655158
2013,2,65,9,99,0.1833288734
2013,1,7,9,99,0.1240749653
2013,2,32,9,99,0.2205622979
2013,2,75,9,99,0.1385254533
2013,2,32,5,25,0.2066536957
2013,2,47,9,99,0.1638175402
2013,2,75,9,99,0.1484621453
2013,1,7,9,99,0.0316905406
2013,1,47,5,20,0.1629664468
2013,1,47,5,45,0.0601359625
2013,1,47,5,40,0.0815555337
2013,1,32,9,99,0.1778567693
2013,2,65,9,99,0.3617856184
2013,1,7,9,99,0.2129817667
2013,2,47,5,20,0.249427726
2013,1,47,9,99,0.1888188256
2013,1,20,9,99,0.072190763
2013,2,75,9,99,0.0931933166
2013,2,65,9,99,0.1041927971
2013,2,75,9,99,0.1193351566
2013,1,65,0,70,0.1379482906
2013,1,47,9,99,0.1132070048
2013,1,32,5,40,0.1365484365
2013,1,32,0,0,0.0484840384
2013,1,65,0,40,0.2630620202
2013,1,32,5,20,0.1029040302
2013,2,65,9,99,0.1124889492
2013,1,47,5,40,0.1236824905
2013,1,65,9,99,0.0362251775
2013,2,75,9,99,0.1587912641
2013,2,32,9,99,0.2464475001
2013,2,20,9,99,0.0541943163
2013,2,47,9,99,0.1681335974
2013,2,32,5,20,0.1761152242
2013,2,47,5,30,0.079750714
2013,1,20,9,99,0.1629665341
2013,1,7,9,99,0.0926778424
2013,1,65,5,24,0.1016146127
2013,2,47,9,99,0.2172019063
2013,2,47,5,24,0.1225144709
2013,2,65,9,99,0.2146290252
2013,2,7,9,99,0.1131891743
