n_unique_values,std_dev,max_relative_frequency,norm_entropy,min_value,max_value,range_value,shannon_entropy,simpson_index,skewness_probs,kurtosis_probs,dispersion_index,uniformity,top2_ratio,top3_ratio,variable,dataset,type
24753,7145.71994273495,4.0399143538157e-5,1,1,24753,24752,10.1167019727725,0.999959600856462,0,0,0,1,8.0798287076314e-5,1.2119743061447e-4,PROFAMMFR,SN217,S
11,1.29607934824726,0.284813961944007,0.675307334731484,1,12,11,1.61931626563869,0.779984930873015,0.590697062358078,-1.55443404715976,0.142016576039684,0.675307334731484,0.528945986345089,0.753282430412475,NCOMP,SN217,S
1,0,1,0,1,1,0,0,0,0,0,NA,0,1,1,ORDCOM,SN217,S
2,0.104061246342919,0.989051832101159,0.0870153306873858,1,2,1,0.0603144311314528,0.0216566110369987,0,0,0.956686777926003,0.0870153306873858,1,1,POSIND,SN217,N
1,0,1,0,1,1,0,0,0,0,0,NA,0,1,1,RELPAR,SN217,N
2,0.499824156419709,0.513634710944128,0.999463524067813,1,2,1,0.692775323780111,0.49962818931494,0,0,7.4362137011969e-4,0.999463524067813,1,1,SESSO,SN217,N
12,3.24582938502499,0.139659839211409,0.970097795567909,7,18,11,2.41060246315138,0.905151266834835,0.0928256785870513,-0.533324617196177,0.0125622543619982,0.970097795567909,0.273542600896861,0.371429725689815,ETAM,SN217,O
31,8.82944063310385,0.0409185293758397,0.997840738610574,1,31,30,3.42657232850272,0.967314988952846,-2.05786770446577,8.39741405461603,4.4117808205872e-4,0.997840738610574,0.0769919791539432,0.112169699930785,GNASC,SN217,S
12,3.457127216316,0.0931906931337455,0.99944493169892,1,12,11,2.48352735687556,0.916434871643252,0.479187257675175,-0.469681995261354,2.5286729827046e-4,0.99944493169892,0.181540839570452,0.266921575008135,MNASC,SN217,O
3,0.614709784790098,0.530647061212884,0.829149813702556,1,3,2,0.910914174480502,0.562517521897853,-0.218210548336704,-2.33333333333333,0.156223717153221,0.829149813702556,0.916568504000975,1,LUONA,SN217,N
3,0.538924463846449,0.838723440566601,0.498660485098163,1,3,2,0.547834536802043,0.282624098171186,0.380782859932914,-2.33333333333333,0.576063852743221,0.498660485098163,0.940737264271695,1,LIMITA,SN217,O
6,1.44821486532643,0.539530561952087,0.672376652297477,1,6,5,1.20473723364186,0.615895909257279,0.827909119529765,-1.17547770941097,0.260924908891265,0.672376652297477,0.826687674221307,0.917343352320931,STCIV,SN217,N
7,2.64242935471494,0.471256009372601,0.751319476189739,1,8,7,1.46200019390053,0.69641698897563,1.0267520616606,-0.566361637477893,0.187513512861765,0.751319476189739,0.707914192219125,0.845230881105321,CONDM,SN217,N
6,1.87488705886025,0.364885064436634,0.80463947856096,1,6,5,1.44172040502633,0.734554838070487,0.142415254433265,-1.86721034793648,0.118534194315415,0.80463947856096,0.636165313295358,0.84830121601422,REDPR,SN217,N
12,2.83469542761986,0.159854952028405,0.949294951014609,1,12,11,2.35890933638638,0.897013631046447,0.0653761487641661,-1.37096560423503,0.0214396752220578,0.949294951014609,0.281408174057566,0.392233889854197,MMATR,SN217,O
74,16.2149130314493,0.0224491328177791,0.955388199001368,1941,2016,75,4.11205299778099,0.982854331000615,-0.844248085141635,-0.828714264343679,0.00368191104047241,0.955388199001368,0.0448982656355582,0.0656956227945041,AMATR,SN217,S
3,0.68253580153003,0.972295020591539,0.125661289793967,1,6,5,0.138053037177536,0.0540632255063994,0.38434783049263,-2.33333333333333,0.918905161740401,0.125661289793967,0.996031448895545,1,STCPM,SN217,N
3,0.96093287726735,0.483698945582354,0.824972244925857,1,3,2,0.906324646085664,0.565560822165674,-0.369661132819356,-2.33333333333333,0.151658766751488,0.824972244925857,0.925140387023795,1,CONDOGG,SN217,N
8,2.57394254964273,0.483698945582354,0.713001230455036,1,8,7,1.48264437787704,0.690184119084434,1.25441974921008,0.0686705000595005,0.211218149617789,0.713001230455036,0.715872823496142,0.843251323071951,NEWCOND,SN217,N
5,1.30592153105844,0.29131822405365,0.966288211064429,1,5,4,1.55518088122522,0.779576245544496,-0.13424426796715,-1.65418274280017,0.0255296930693798,0.966288211064429,0.525916050579728,0.727224982830364,RIP,SN217,N
